Solution ID,Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
150,145,1258,1198,467851.58,162680.63,18272.58,46,79,68
151,145,1258,1198,467929.73,162567.73,17503.8,46,79,69
152,145,1258,1198,467929.73,162567.73,17505.69,46,79,68
153,145,1258,1198,467950.29,162723.21,17497.57,46,79,69
154,145,1258,1198,469052.69,167117.25,15826.49,46,79,68
155,145,1258,1198,469168.18,166389.26,16441.3,46,79,63
156,145,1258,1198,469280.5,162225.28,18033.14,46,79,67
157,145,1258,1198,469291.89,165405.53,12530.3,46,79,70
158,145,1258,1198,469380.05,165704.47,12442.05,46,79,70
159,145,1258,1198,469388.15,167117.25,15272.95,46,79,69
160,145,1258,1198,469398.42,163123.96,16877.58,46,79,67
161,145,1258,1198,469399.99,167280.42,15530.7,46,79,68
162,145,1258,1198,469420.11,162567.3,16886.71,46,79,67
163,145,1258,1198,469511.16,165315.14,13146.44,46,79,70
164,145,1258,1198,469541.34,167105.94,15638.47,46,79,68
165,145,1258,1198,469597.45,165733.1,13587.05,46,79,67
166,145,1258,1198,469617.39,165705.9,13691.83,46,79,67
167,145,1258,1198,469758.42,167552.27,16183.08,46,79,66
168,145,1258,1198,469763.95,165315.14,13146.36,46,79,70
169,145,1258,1198,469767.19,165834.31,16441.3,46,79,63
170,145,1258,1198,469792.34,165369.56,16696.4,46,79,63
171,145,1258,1198,469899.41,165102.29,13188.63,46,79,70
172,145,1258,1198,469899.41,165105.21,13518.08,46,79,69
173,145,1258,1198,469899.41,165145.43,13476.08,46,79,69
174,145,1258,1198,469899.41,165188.48,13294.22,46,79,69
175,145,1258,1198,469935.55,161974.85,17423.02,46,79,71
176,145,1258,1198,469935.55,162050.26,17428.44,46,79,70
177,145,1258,1198,469935.55,162050.26,17433.86,46,79,69
178,145,1258,1198,469944.34,162050.26,17387.59,46,79,69
179,145,1258,1198,469944.34,162072.39,16822.11,46,79,69
180,145,1258,1198,469944.34,162219.67,16750.83,46,79,69
181,145,1258,1198,470066.48,162179.8,16750.83,46,79,69
182,145,1258,1198,470115.24,165103.52,17188.43,46,79,63
183,145,1258,1198,470480.6,163019.46,16877.58,46,79,67
184,145,1258,1198,470484.4,162018.15,16580.92,46,79,75
185,145,1258,1198,470657.35,160664.49,16425.28,46,79,77
186,145,1258,1198,470657.35,160664.49,16432.93,46,79,76
187,145,1258,1198,470779.04,164989.24,15229.33,46,79,68
188,145,1258,1198,470802.57,160648.08,16459.37,46,79,77
189,145,1258,1198,470846.57,163856.43,13132.72,46,79,71
190,145,1258,1198,471045.65,166245.24,15809.82,46,79,65
191,145,1258,1198,471045.65,166545.95,15617.21,46,79,65
192,145,1258,1198,471045.65,167024.42,15573.85,46,79,65
193,145,1258,1198,471075.24,160427.77,16337.75,46,79,76
194,145,1258,1198,471122.26,164991.38,14952.56,46,79,69
195,145,1258,1198,471122.4,162037.24,15723.96,46,79,76
196,145,1258,1198,471157.83,160446.84,16200.74,46,79,75
197,145,1258,1198,471157.83,160554.32,16200.74,46,79,74
198,145,1258,1198,471189.06,166196.9,17368.64,46,79,62
199,145,1258,1198,471193.32,165865.88,15535.6,46,79,65
200,145,1258,1198,471193.32,165938.81,15439.11,46,79,65
201,145,1258,1198,471193.32,165938.81,16052.67,46,79,64
202,145,1258,1198,471301.96,165781.2,15517.68,46,79,66
203,145,1258,1198,471311.87,165677.5,15574.68,46,79,66
204,145,1258,1198,471388.22,164342.1,12976.08,46,79,72
205,145,1258,1198,471473.2,163752.44,13714.25,46,79,71
206,145,1258,1198,471473.2,163804.52,13133.6,46,79,71
207,145,1258,1198,471527.97,164157.98,14192.41,46,79,70
208,145,1258,1198,471534.22,164157.98,13810.34,46,79,70
209,145,1258,1198,471801.1,164157.4,13810.34,46,79,70
210,145,1258,1198,471864.55,164331.57,13590.31,46,79,70
211,145,1258,1198,471881.82,161786.56,15723.96,46,79,75
212,145,1258,1198,472026.82,164704.27,13097.53,46,79,68
213,145,1258,1198,472088.12,163714.8,14192.41,46,79,70
214,145,1258,1198,472885.84,160823.59,14839.75,46,79,70
215,145,1258,1198,472988.27,161213.59,14445.07,46,79,70
216,145,1258,1198,473044.95,161241.39,14431.13,46,79,70
217,145,1258,1198,473068.55,158434.13,15296.2,46,79,74
218,145,1258,1198,473207.76,158172.59,15296.2,46,79,74
219,145,1258,1198,473243.33,160556.86,15019.64,46,79,69
220,145,1258,1198,473432.26,160618.09,14812.43,46,79,73
221,145,1258,1198,473443.44,158140.2,15481.7,46,79,73
222,145,1258,1198,473461.85,160192.09,14944.97,46,79,70
223,145,1258,1198,473721.44,158140.2,14928.16,46,79,74
224,145,1258,1198,474007.07,160469.83,15308.04,46,79,69
225,145,1258,1198,474317.92,159920.49,15601.06,46,79,69
226,145,1258,1198,474317.92,159926.74,15555.2,46,79,70
227,145,1258,1198,477206.06,160542.78,15006.71,46,79,63
228,145,1258,1198,478101.08,159954.59,14917.35,46,79,63
229,145,1258,1198,478101.08,159977.44,15090.71,46,79,62
230,145,1258,1198,478101.08,159977.44,15374.16,46,79,61
231,145,1258,1198,478938.09,159749.29,15285.9,46,79,61
232,145,1258,1199,465093.52,161022.03,15885.61,46,79,69
233,145,1258,1199,465119.42,161257.61,15836.27,46,79,70
234,145,1258,1199,465175.46,161081.75,15841.69,46,79,69
235,145,1258,1199,465660.87,169022.18,14324.71,46,79,69
236,145,1258,1199,465662.51,169291.89,14037.25,46,79,69
237,145,1258,1199,465720.76,160916.17,15885.61,46,79,69
238,145,1258,1199,465906.41,160885.38,15885.61,46,79,69
239,145,1258,1199,465919.43,160693.51,15885.61,46,79,69
240,145,1258,1199,466015.23,169049.99,13562.41,46,79,69
241,145,1258,1199,466274.42,160707.79,15843.34,46,79,71
242,145,1258,1199,466399.86,168795.29,14275.22,46,79,67
243,145,1258,1199,466480.78,168795.07,14394.06,46,79,67
244,145,1258,1199,466608.73,167488.25,13708.14,46,79,69
245,145,1258,1199,466739.09,167336.9,13747.1,46,79,69
246,145,1258,1199,466997.54,168726.11,14036.52,46,79,68
247,145,1258,1199,467060.51,168795.07,14393.56,46,79,67
248,145,1258,1199,467255.31,162359.91,18399.94,46,79,68
249,145,1258,1199,467327.13,160070.69,16495.22,46,79,69
250,145,1258,1199,467387.28,162055.1,15306.72,46,79,73
251,145,1258,1199,467387.28,162055.1,15312.21,46,79,72
252,145,1258,1199,467387.28,162372.78,15305.69,46,79,72
253,145,1258,1199,467480.14,160070.69,16407.77,46,79,69
254,145,1258,1199,467556.47,161661.37,15305.69,46,79,72
255,145,1258,1199,467626.4,161633.3,15305.69,46,79,72
256,145,1258,1199,467654.63,159570.94,16515.84,46,79,69
257,145,1258,1199,467654.63,159644.41,16509.62,46,79,68
258,145,1258,1199,467739.52,160070.95,16402.35,46,79,69
259,145,1258,1199,467743.33,164560.34,12737.66,46,79,71
260,145,1258,1199,467949.55,160076.94,16219.29,46,79,69
261,145,1258,1199,468164.45,164208.73,12748.4,46,79,71
262,145,1258,1199,468188.78,167355.35,16793.53,46,79,63
263,145,1258,1199,468311.48,159921.75,16223.56,46,79,69
264,145,1258,1199,468348.68,166477.46,13550.68,46,79,70
265,145,1258,1199,468348.68,167238.63,13741.3,46,79,69
266,145,1258,1199,468791.35,168279.95,13951.3,46,79,64
267,145,1258,1199,468791.35,168504.65,14241.62,46,79,63
268,145,1258,1199,468837.22,167671.43,16637.3,46,79,63
269,145,1258,1199,469080.3,168203.39,13915.21,46,79,65
270,145,1258,1199,469081.36,165407.39,14185.83,46,79,70
271,145,1258,1199,469225.0,165267.98,14185.83,46,79,70
272,145,1258,1199,469225.0,165267.98,14422.72,46,79,69
273,145,1258,1199,469228.77,165337.95,13248.09,46,79,69
274,145,1258,1199,469228.77,165757.45,12956.08,46,79,70
275,145,1258,1199,469296.63,165848.5,13247.83,46,79,69
276,145,1258,1199,469303.2,164304.39,12531.04,46,79,71
277,145,1258,1199,469321.94,168076.75,13547.06,46,79,68
278,145,1258,1199,469350.13,165993.26,13247.83,46,79,68
279,145,1258,1199,469375.48,165667.58,13247.83,46,79,68
280,145,1258,1199,469387.56,165412.93,13247.83,46,79,68
281,145,1258,1199,469588.44,165210.51,13449.21,46,79,68
282,145,1258,1199,469605.13,162354.81,17815.78,46,79,66
283,145,1258,1199,469804.13,162300.81,17815.78,46,79,66
284,145,1258,1199,469829.73,162234.28,17677.91,46,79,67
285,145,1258,1199,469829.73,162234.28,17815.78,46,79,66
286,145,1258,1199,469943.41,160845.16,16112.43,46,79,67
287,145,1258,1199,469954.19,165542.28,12442.05,46,79,70
288,145,1258,1199,469954.19,165762.75,12771.5,46,79,69
289,145,1258,1199,470051.69,168870.45,13649.61,46,79,64
290,145,1258,1199,470051.69,168870.45,13964.1,46,79,63
291,145,1258,1199,470055.54,168632.79,13939.37,46,79,64
292,145,1258,1199,470055.54,168632.79,13943.44,46,79,63
293,145,1258,1199,470055.54,168777.15,13901.17,46,79,64
294,145,1258,1199,470055.54,168777.15,13910.52,46,79,63
295,145,1258,1199,470065.81,166019.05,13162.03,46,79,68
296,145,1258,1199,470065.81,166028.81,12912.29,46,79,68
297,145,1258,1199,470101.3,160655.64,16158.69,46,79,66
298,145,1258,1199,470170.68,160546.27,16025.02,46,79,68
299,145,1258,1199,470242.35,166634.59,15306.95,46,79,64
300,145,1258,1199,470242.35,166693.01,15291.36,46,79,65
301,145,1258,1199,470242.35,167086.73,15034.56,46,79,65
302,145,1258,1199,470249.04,166585.11,15291.36,46,79,65
303,145,1258,1199,470344.21,165475.34,15609.59,46,79,67
304,145,1258,1199,470372.5,165716.99,13013.35,46,79,69
305,145,1258,1199,470454.08,165505.32,12827.93,46,79,68
306,145,1258,1199,470493.84,168809.62,13346.12,46,79,63
307,145,1258,1199,470521.03,167712.14,14407.12,46,79,65
308,145,1258,1199,470707.91,167308.15,15296.6,46,79,64
309,145,1258,1199,470727.18,167080.01,15034.56,46,79,65
310,145,1258,1199,470761.95,160277.71,16630.18,46,79,67
311,145,1258,1199,470838.82,164140.59,16863.99,46,79,63
312,145,1258,1199,470858.55,160354.98,16176.48,46,79,77
313,145,1258,1199,470948.52,164076.64,16366.46,46,79,64
314,145,1258,1199,470948.52,164090.43,16297.2,46,79,65
315,145,1258,1199,471257.78,160494.94,15941.29,46,79,67
316,145,1258,1199,471265.78,160354.96,16327.49,46,79,67
317,145,1258,1199,471486.9,164610.08,13097.53,46,79,70
318,145,1258,1199,471489.45,161161.27,15809.57,46,79,67
319,145,1258,1199,471496.13,164626.99,13097.53,46,79,68
320,145,1258,1199,471507.93,163684.62,15952.73,46,79,66
321,145,1258,1199,471507.93,163684.62,16506.06,46,79,64
322,145,1258,1199,471507.93,163684.62,16813.73,46,79,63
323,145,1258,1199,471704.47,164524.04,13115.99,46,79,68
324,145,1258,1199,471745.2,164006.91,13601.79,46,79,70
325,145,1258,1199,471745.2,164028.0,13097.53,46,79,70
326,145,1258,1199,471896.33,161624.7,14716.6,46,79,68
327,145,1258,1199,472002.8,166460.38,13697.56,46,79,62
328,145,1258,1199,472050.12,165399.68,14860.04,46,79,63
329,145,1258,1199,472072.67,160996.33,15779.56,46,79,72
330,145,1258,1199,472099.18,164006.91,13909.52,46,79,69
331,145,1258,1199,472308.69,165705.77,13111.89,46,79,67
332,145,1258,1199,472399.55,161516.38,14666.3,46,79,68
333,145,1258,1199,472409.71,165705.34,13651.96,46,79,67
334,145,1258,1199,472483.82,159219.95,15492.2,46,79,73
335,145,1258,1199,472488.59,164006.91,13869.67,46,79,69
336,145,1258,1199,472516.25,165350.67,13644.34,46,79,66
337,145,1258,1199,472527.42,161301.63,14493.57,46,79,69
338,145,1258,1199,472560.97,166848.66,13340.02,46,79,63
339,145,1258,1199,472592.88,164006.91,13775.01,46,79,69
340,145,1258,1199,472604.76,159422.04,15146.78,46,79,74
341,145,1258,1199,472615.84,160793.48,15688.42,46,79,72
342,145,1258,1199,472626.36,166809.44,13437.01,46,79,63
343,145,1258,1199,472626.36,166820.38,13246.82,46,79,63
344,145,1258,1199,472715.32,165705.34,13111.89,46,79,67
345,145,1258,1199,472810.21,161510.27,14666.3,46,79,68
346,145,1258,1199,472827.56,158392.74,15492.2,46,79,73
347,145,1258,1199,472966.64,163749.32,13714.25,46,79,71
348,145,1258,1199,472968.77,158172.78,15492.2,46,79,73
349,145,1258,1199,473079.86,166085.22,13111.3,46,79,67
350,145,1258,1199,473087.05,160894.06,14633.25,46,79,73
351,145,1258,1199,473162.12,160072.81,15705.41,46,79,69
352,145,1258,1199,473193.06,166405.21,13243.34,46,79,63
353,145,1258,1199,473193.06,166405.21,13289.6,46,79,62
354,145,1258,1199,473211.17,160001.32,15319.89,46,79,73
355,145,1258,1199,473221.63,166085.22,13112.11,46,79,66
356,145,1258,1199,473255.24,166085.22,12652.82,46,79,67
357,145,1258,1199,473266.21,163497.71,12840.71,46,79,67
358,145,1258,1199,473266.21,163894.57,12550.39,46,79,67
