Time (s),Solutions
315.1600491853673,97.0
315.1760590224408,97.0
315.1920688595143,97.0
315.20807869658773,97.0
315.22408853366125,97.0
315.2400983707347,97.0
315.25610820780815,97.0
315.2721180448816,99.0
315.2881278819551,99.0
315.3041377190286,99.0
315.32014755610203,99.0
315.33615739317554,99.0
315.352167230249,99.0
315.36817706732245,99.0
315.3841869043959,99.0
315.4001967414694,99.0
315.41620657854287,99.0
315.4322164156163,99.0
315.44822625268984,99.0
315.4642360897633,99.0
315.48024592683674,99.0
315.4962557639102,99.0
315.5122656009837,99.0
315.52827543805716,99.0
315.5442852751306,100.0
315.56029511220413,100.0
315.5763049492776,100.0
315.59231478635104,100.0
315.6083246234245,100.0
315.624334460498,100.0
315.64034429757146,100.0
315.6563541346449,100.0
315.6723639717184,100.0
315.6883738087919,100.0
315.70438364586533,100.0
315.7203934829388,100.0
315.7364033200123,100.0
315.75241315708575,100.0
315.7684229941592,100.0
315.7844328312327,100.0
315.8004426683062,100.0
315.81645250537963,100.0
315.8324623424531,100.0
315.8484721795266,100.0
315.86448201660005,100.0
315.8804918536735,100.0
315.896501690747,100.0
315.91251152782047,100.0
315.9285213648939,100.0
315.9445312019674,100.0
315.9605410390409,100.0
315.97655087611435,100.0
315.9925607131878,100.0
316.0085705502613,100.0
316.02458038733477,101.0
316.0405902244082,101.0
316.0566000614817,101.0
316.0726098985552,101.0
316.08861973562864,101.0
316.1046295727021,101.0
316.12063940977555,101.0
316.13664924684906,101.0
316.1526590839225,102.0
316.16866892099597,102.0
316.1846787580695,102.0
316.20068859514294,102.0
316.2166984322164,102.0
316.23270826928984,102.0
316.24871810636336,102.0
316.2647279434368,102.0
316.28073778051026,102.0
316.2967476175838,102.0
316.31275745465723,102.0
316.3287672917307,102.0
316.34477712880414,102.0
316.36078696587765,102.0
316.3767968029511,102.0
316.39280664002456,102.0
316.40881647709807,102.0
316.4248263141715,102.0
316.440836151245,102.0
316.45684598831843,102.0
316.47285582539195,102.0
316.4888656624654,102.0
316.50487549953885,102.0
316.52088533661237,102.0
316.5368951736858,102.0
316.5529050107593,102.0
316.56891484783273,102.0
316.58492468490624,102.0
316.6009345219797,101.0
316.61694435905315,102.0
316.63295419612666,102.0
316.6489640332001,102.0
316.66497387027357,102.0
316.680983707347,102.0
316.69699354442054,102.0
316.713003381494,102.0
316.72901321856745,102.0
316.74502305564096,102.0
316.7610328927144,102.0
316.77704272978787,103.0
316.7930525668613,103.0
316.80906240393483,103.0
316.8250722410083,103.0
316.84108207808174,103.0
316.85709191515525,103.0
316.8731017522287,103.0
316.88911158930216,103.0
316.9051214263756,103.0
316.9211312634491,103.0
316.9371411005226,103.0
316.95315093759604,103.0
316.96916077466955,103.0
316.985170611743,103.0
317.00118044881646,104.0
317.0171902858899,104.0
317.0332001229634,104.0
317.0492099600369,104.0
317.06521979711033,104.0
317.08122963418384,104.0
317.0972394712573,104.0
317.11324930833075,104.0
317.1292591454042,104.0
317.1452689824777,104.0
317.16127881955117,104.0
317.1772886566246,104.0
317.19329849369814,104.0
317.2093083307716,104.0
317.22531816784505,104.0
317.2413280049185,104.0
317.257337841992,104.0
317.27334767906547,104.0
317.2893575161389,104.0
317.30536735321243,104.0
317.3213771902859,104.0
317.33738702735934,102.0
317.3533968644328,102.0
317.3694067015063,102.0
317.38541653857976,102.0
317.4014263756532,102.0
317.4174362127267,102.0
317.4334460498002,102.0
317.44945588687364,102.0
317.4654657239471,102.0
317.4814755610206,102.0
317.49748539809406,102.0
317.5134952351675,102.0
317.52950507224097,102.0
317.5455149093145,102.0
317.56152474638793,102.0
317.5775345834614,102.0
317.5935444205349,102.0
317.60955425760835,102.0
317.6255640946818,102.0
317.64157393175526,102.0
317.6575837688288,102.0
317.6735936059022,102.0
317.6896034429757,102.0
317.7056132800492,102.0
317.72162311712265,102.0
317.7376329541961,102.0
317.75364279126956,102.0
317.76965262834307,103.0
317.7856624654165,103.0
317.80167230249,103.0
317.8176821395635,103.0
317.83369197663694,103.0
317.8497018137104,103.0
317.86571165078385,103.0
317.88172148785736,103.0
317.8977313249308,103.0
317.91374116200427,104.0
317.9297509990778,104.0
317.94576083615124,104.0
317.9617706732247,104.0
317.97778051029815,103.0
317.99379034737166,103.0
318.0098001844451,103.0
318.02581002151857,103.0
318.0418198585921,103.0
318.05782969566553,103.0
318.073839532739,103.0
318.08984936981244,103.0
318.10585920688595,103.0
318.1218690439594,103.0
318.13787888103286,103.0
318.1538887181064,103.0
318.1698985551798,103.0
318.1859083922533,104.0
318.20191822932674,104.0
318.21792806640025,104.0
318.2339379034737,104.0
318.24994774054716,104.0
318.26595757762067,104.0
318.2819674146941,104.0
318.2979772517676,104.0
318.31398708884103,104.0
