         394795209 function calls (394791980 primitive calls) in 79.899 seconds

   Ordered by: cumulative time
   List reduced from 1340 to 300 due to restriction <300>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   127223    0.019    0.000    0.019    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:575(<genexpr>)
   127950    0.018    0.000    0.018    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:579(<genexpr>)
    12948    0.013    0.000    0.018    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2972(__init__)
        1    0.018    0.018    0.018    0.018 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:389(<listcomp>)
   129800    0.018    0.000    0.018    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:482(<genexpr>)
     9169    0.017    0.000    0.017    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3273(<listcomp>)
   128583    0.017    0.000    0.017    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:442(<genexpr>)
     9169    0.016    0.000    0.016    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3274(<listcomp>)
    16478    0.013    0.000    0.016    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1908(__init__)
        1    0.000    0.000    0.015    0.015 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:866(ShowFront)
   129800    0.015    0.000    0.015    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:483(<genexpr>)
    20489    0.015    0.000    0.015    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2067(<listcomp>)
     9604    0.011    0.000    0.015    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:91(<listcomp>)
     1232    0.003    0.000    0.015    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3359(constructCompleteRoutes)
   128583    0.014    0.000    0.014    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/MIP_UB.py:443(<genexpr>)
    30440    0.014    0.000    0.014    0.000 {built-in method _locale.nl_langinfo}
    19520    0.013    0.000    0.013    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1769(<listcomp>)
     1130    0.003    0.000    0.013    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2957(constructCompleteRoutes)
   172353    0.013    0.000    0.013    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:698(max_transport_distance)
        4    0.000    0.000    0.013    0.003 /opt/anaconda3/lib/python3.9/site-packages/pandas/util/_decorators.py:325(wrapper)
   250103    0.012    0.000    0.012    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:950(predecessor_ids)
