         331435343 function calls in 78.368 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17579    0.011    0.000    0.136    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3308(EvaluateMove)
  2394861    0.135    0.000    0.135    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:640(machines)
    17614    0.102    0.000    0.135    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:571(calculate_replace_shift_machine_delta)
  3457319    0.131    0.000    0.131    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:325(<lambda>)
    17570    0.027    0.000    0.124    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2097(constructCompleteRoutes)
  2816870    0.123    0.000    0.123    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1070(successor_ids)
  2934153    0.122    0.000    0.122    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:721(order_number)
    17579    0.090    0.000    0.120    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:429(calculate_swap_shift_worker_delta)
  2238643    0.120    0.000    0.120    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1175(default_drivers)
  1371610    0.105    0.000    0.105    0.000 {method 'insert' of 'list' objects}
  2106927    0.103    0.000    0.103    0.000 {method 'values' of 'dict' objects}
  2132063    0.103    0.000    0.103    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:671(work_routes_order_item)
  2177930    0.097    0.000    0.097    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:666(transport_routes_order_item)
  2237883    0.094    0.000    0.094    0.000 {method 'keys' of 'dict' objects}
    17532    0.010    0.000    0.092    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2906(EvaluateMove)
    88133    0.056    0.000    0.092    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:306(<dictcomp>)
    17532    0.059    0.000    0.078    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:657(calculate_replace_shift_worker_delta)
    89348    0.075    0.000    0.075    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2645(<listcomp>)
    76960    0.058    0.000    0.075    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2722(__init__)
  1413278    0.074    0.000    0.074    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1078(night_shift_ids)
    89348    0.074    0.000    0.074    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2646(<listcomp>)
    32817    0.053    0.000    0.064    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3152(<listcomp>)
    17570    0.063    0.000    0.063    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2102(<dictcomp>)
    88132    0.040    0.000    0.063    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:326(<dictcomp>)
  1149462    0.062    0.000    0.062    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:737(order_item_ids)
   105600    0.038    0.000    0.060    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:69(Update)
   830496    0.055    0.000    0.055    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1053(possible_order_item_ids)
    83453    0.054    0.000    0.054    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3235(<listcomp>)
    83453    0.051    0.000    0.051    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3236(<listcomp>)
    18252    0.037    0.000    0.050    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2550(<listcomp>)
